@RELATION spam
@ATTRIBUTE avg_RTs REAL
@ATTRIBUTE avg_favs REAL
@ATTRIBUTE bigram_control REAL
@ATTRIBUTE favorites REAL
@ATTRIBUTE followers REAL
@ATTRIBUTE friends REAL
@ATTRIBUTE geo_enabled REAL
@ATTRIBUTE mentions REAL
@ATTRIBUTE num_RTs REAL
@ATTRIBUTE num_hapexes REAL
@ATTRIBUTE num_hashtags REAL
@ATTRIBUTE num_links REAL
@ATTRIBUTE pct_hapexes REAL
@ATTRIBUTE screen_name_len REAL
@ATTRIBUTE status_count REAL
@ATTRIBUTE time_diff REAL
@ATTRIBUTE unigram_nospam REAL
@ATTRIBUTE unigram_spam REAL
@ATTRIBUTE unigram_total REAL
@ATTRIBUTE unique_bigrams REAL
@ATTRIBUTE Spam {True, False}
@DATA
0.0,0.0,60.0541898967,58,234,341,0,0,0,51,0,19,0.116438356164,12,14718,0,168.867906404,161.902616687,166.06490315,0.666666666667, True
49.9,0.2,36.2473055456,1096,468,291,0,1,0,42,2,3,0.107142857143,12,42919,1,89.8862568233,86.962417539,88.7641858887,0.894150417827, True
271.55,0.0,53.7271945552,437,1307,2001,0,0,0,67,9,9,0.182561307902,12,1701,1,93.2355913806,92.3767934007,94.1817001049,0.83284457478, True
679.5,0.0,43.676651276,21,251,293,1,1,0,46,0,5,0.115869017632,9,5227,0,93.6726668918,90.6893119912,92.5630793686,0.830601092896, True
0.6,0.25,49.0259530422,120,2647,26,1,1,0,33,3,1,0.0681818181818,14,1589,5,113.059340407,106.176084381,108.749941307,0.87032967033, True
71.0714285714,0.0,80.5689780571,3,51801,50443,0,1,1,18,0,14,0.0446650124069,11,176,0,127.705630158,125.005957056,126.188739454,0.573298429319, True
26.5,0.15,54.6184753276,7702,1064,2001,0,2,0,37,10,5,0.0846681922197,9,31026,0,102.458417357,99.8543975157,101.5395914,0.769041769042, True
0.25,0.2,34.8526174258,0,1707,1999,0,0,0,81,0,20,0.162,8,27136,1,84.3468496574,83.8528358357,85.34607774,0.775824175824, True
27.15,0.2,37.0323119295,19159,800,1999,0,2,0,38,3,6,0.0833333333333,10,6586,1,77.9037457723,73.2695027926,75.2871802014,0.715662650602, True
0.05,0.1,48.3497459319,1,812,160,0,0,0,45,40,20,0.111940298507,8,320287,0,107.867756146,105.163635193,107.207069114,0.708556149733, True
262.15,277.55,31.55726451,3,17662,3796,0,1,0,22,1,5,0.0830188679245,10,98,21,63.6119962366,61.857462874,62.5649303537,0.898305084746, True
0.35,0.35,51.9219016414,105,520,220,0,0,0,56,3,8,0.120689655172,13,865,1,133.738861926,127.659670003,130.957754619,0.799544419134, True
2.55,1.6,49.0839511874,17,898,313,0,1,0,66,7,13,0.177419354839,13,394,38,113.162805389,109.778547788,112.682757259,0.812680115274, True
3.1,0.6,32.4498514929,191,624,853,0,1,0,26,7,11,0.0849673202614,12,102,15,67.3131533995,65.3998128587,66.5148145108,0.684981684982, True
736.45,0.05,43.8667754383,188,755,1999,1,2,0,63,10,5,0.147887323944,12,42863,2,90.7111351503,88.1090796773,90.1727627103,0.868020304569, True
15.4545454545,0.0909090909091,45.3344718863,0,105,309,0,1,0,24,2,3,0.110091743119,10,11,38,95.5862921752,93.2744339224,94.3996385986,0.865671641791, True
2.0,0.1,54.5474995656,46,346,782,1,0,0,67,4,16,0.156177156177,9,974,14,110.987650357,108.357463206,110.890206987,0.88029925187, True
0.2,0.0,28.1025691717,96,211,488,1,1,0,68,27,20,0.173469387755,13,2915,4,64.5936364624,63.3397059821,64.9113080125,0.85590778098, True
353.5,0.0,74.0156917744,32,438,2001,0,1,0,43,33,13,0.0844793713163,11,21445,0,108.282128099,109.624810684,109.821311595,0.752598752599, True
0.45,3.25,42.594637393,492,187,143,0,0,0,51,2,0,0.154545454545,11,6336,14,129.216957987,123.852500644,126.968338701,0.977346278317, True
1.45,0.15,65.4042650789,0,2019,1552,0,1,0,39,26,20,0.0754352030948,14,9515,0,140.934585579,137.293305047,139.479255232,0.497959183673, True
746.75,0.65,49.9674333139,2401,405,260,1,0,0,52,1,2,0.14404432133,11,26497,8,119.653511269,116.157423015,118.652500856,0.92899408284, True
1289.25,0.15,38.5486600425,868,147,204,0,0,0,56,12,4,0.124168514412,14,637,4,85.3644674261,81.8987923435,84.0067977543,0.823671497585, True
0.35,0.3,46.6980504788,4,103,117,0,1,0,53,17,9,0.12100456621,13,348,39,96.2939706381,93.0667685624,95.0956685259,0.83950617284, True
321.25,0.0,88.4628077909,54,330,1984,0,0,0,26,26,11,0.0458553791887,8,21507,0,129.689193541,129.954185711,130.056278076,0.644444444444, True
443.35,0.3,37.4960637947,21,1102,1010,1,1,0,75,3,8,0.178997613365,11,6610,4,86.3961595145,84.012641776,86.1828883516,0.903645833333, True
913.35,0.0,32.095758835,900,194,602,0,1,0,38,5,1,0.0889929742389,9,8443,0,87.179964742,82.4829301649,84.5447950154,0.897172236504, True
0.6,0.0,60.6921651187,0,425,1092,1,0,0,79,24,17,0.188995215311,15,1345,3,121.284533185,119.061943184,121.782692016,0.854961832061, True
3.6,0.15,54.5483866733,1960,521,392,0,0,0,54,45,18,0.131707317073,9,743,1,98.7789648373,96.9541617751,98.7071451067,0.719160104987, True
8.55,0.0,48.2794997615,6865,388,530,0,1,1,67,6,5,0.218954248366,8,1357,1,84.9242744435,84.0387557241,86.1008525747,0.790035587189, True
0.0,0.0,46.4115770343,48,660,344,0,0,0,48,37,11,0.119106699752,12,957,2,89.8655107041,87.7687181872,89.1091400874,0.687331536388, True
